commodity,release_date,release_time,proj_val,act_val,surprise,return_1d,price_before,price_after,surprise_percent,news_sentiment,news_failure,reason,status,is_realtime
cotton,2020-01-10,12:00 PM,80.32,79.59,-0.7299999999999898,0.008770619546963569,70.69000244140625,71.30999755859375,-0.9088645418326567,Bullish,NO,N/A,Expected Reaction,0
cotton,2020-02-11,12:00 PM,79.59,82.12,2.530000000000001,0.0005866096802345097,68.19000244140625,68.2300033569336,3.178791305440383,Bearish,YES,bad_news_price_up,Bearish News Failure,0
cotton,2020-03-10,12:00 PM,82.12,83.4,1.2800000000000011,0.00032579341851311935,61.38999938964844,61.40999984741211,1.5586945932781309,Bearish,YES,bad_news_price_up,Bearish News Failure,0
cotton,2020-04-09,12:00 PM,83.4,91.26,7.859999999999999,0.009843959468699962,53.84000015258789,54.369998931884766,9.424460431654675,Bearish,YES,bad_news_price_up,Bearish News Failure,0
cotton,2020-05-12,12:00 PM,,99.43,,0.0301959924460508,56.630001068115234,58.34000015258789,0.0,Neutral,N/A,N/A,Neutral/No Change,0
cotton,2020-06-11,12:00 PM,99.43,104.67,5.239999999999995,-0.008097799989446697,60.5099983215332,60.02000045776367,5.2700392235743685,Bearish,NO,N/A,Expected Reaction,0
cotton,2020-07-10,12:00 PM,104.67,102.77,-1.9000000000000057,0.021629285263410146,63.34000015258789,64.70999908447266,-1.8152288143689748,Bullish,NO,N/A,Expected Reaction,0
cotton,2020-08-12,12:00 PM,102.77,104.91,2.1400000000000006,-0.018879877038802305,63.029998779296875,61.84000015258789,2.082319743115696,Bearish,NO,N/A,Expected Reaction,0
cotton,2020-09-11,12:00 PM,104.91,103.84,-1.0699999999999932,0.001563453338844247,63.959999084472656,64.05999755859375,-1.0199218377656976,Bullish,NO,N/A,Expected Reaction,0
cotton,2020-10-09,12:00 PM,103.84,101.13,-2.710000000000008,0.02190658550777025,66.19000244140625,67.63999938964844,-2.609784283513105,Bullish,NO,N/A,Expected Reaction,0
cotton,2020-11-10,12:00 PM,101.13,101.44,0.3100000000000023,-0.002142878941127232,70.0,69.8499984741211,0.30653614159992315,Bearish,NO,N/A,Expected Reaction,0
cotton,2020-12-10,12:00 PM,101.44,97.52,-3.9200000000000017,0.016563984037281158,73.05000305175781,74.26000213623047,-3.864353312302841,Bullish,NO,N/A,Expected Reaction,0
cotton,2021-01-12,12:00 PM,97.52,96.32,-1.2000000000000028,0.015790086264424397,80.43000030517578,81.69999694824219,-1.2305168170631695,Bullish,NO,N/A,Expected Reaction,0
cotton,2021-02-09,12:00 PM,96.32,95.74,-0.5799999999999983,0.03144282824230262,84.27999877929688,86.93000030517578,-0.6021594684385365,Bullish,NO,N/A,Expected Reaction,0
cotton,2021-03-09,12:00 PM,95.74,94.59,-1.1499999999999915,-0.046098883885569805,86.7699966430664,82.7699966430664,-1.2011698349697009,Bullish,YES,good_news_price_down,Bullish News Failure,0
cotton,2021-04-09,12:00 PM,94.59,93.46,-1.1300000000000097,0.012160641435154555,81.41000366210938,82.4000015258789,-1.1946294534306054,Bullish,NO,N/A,Expected Reaction,0
cotton,2021-05-12,12:00 PM,,90.99,,0.00547012372573896,87.75,88.2300033569336,0.0,Neutral,N/A,N/A,Neutral/No Change,0
cotton,2021-06-10,12:00 PM,90.99,89.3,-1.6899999999999977,0.008543036715601249,86.62000274658203,87.36000061035156,-1.8573469612045257,Bullish,NO,N/A,Expected Reaction,0
cotton,2021-07-12,12:00 PM,89.3,87.74,-1.5600000000000023,0.0054552036434500056,87.98999786376953,88.47000122070312,-1.746920492721167,Bullish,NO,N/A,Expected Reaction,0
cotton,2021-08-12,12:00 PM,87.74,87.23,-0.5099999999999909,0.02324309545618102,91.63999938964844,93.7699966430664,-0.5812628219740038,Bullish,NO,N/A,Expected Reaction,0
cotton,2021-09-10,12:00 PM,87.23,86.68,-0.5499999999999972,0.007085509894653528,94.55999755859376,95.2300033569336,-0.6305170239596436,Bullish,NO,N/A,Expected Reaction,0
cotton,2021-10-12,12:00 PM,86.68,87.13,0.44999999999998863,-0.031059328114343063,109.79000091552734,106.37999725341795,0.5191508998615466,Bearish,NO,N/A,Expected Reaction,0
cotton,2021-11-09,12:00 PM,87.13,86.93,-0.19999999999998863,0.024281373895832552,116.5500030517578,119.37999725341795,-0.22954206358313856,Bullish,NO,N/A,Expected Reaction,0
